,City,State,2010 census,2016 land area km2,2016 land area sq mi,2016 population density km2,2016 population density sq mi,Area code,Counties,Country,County,Demonym,Density,Elevation,Estimate,Founded by,Incorporated,Land,Mayor,Metro,Rank,Summer,Time zone,Type,Water,Website,change,location,ZIP,FIPS,Finance Director,GNIS,Historic,Airports
100,Des Moines,Iowa,"203,433",230.2 ,88.9 ,936,"2,424",515,"Polk, Warren",United States,,,"2,400/sq mi (1,000/km2)",955 ft (291 m),"216,853,217,521",1843,"September 22, 1851",88.92 sq mi (233.3 km2),Frank Cownie (D),"645,911 (88th)",1st in Iowa100th in US,UTC-5 (CDT),UTC-6 (CST),Council–manager government[3],1.73 sq mi (4.48 km2),www.dmgov.org,+6.60%,41°34′21″N 93°36′37″W﻿ ,,19-21000,,0465961,,
101,Tacoma,Washington,"198,397",128.7 ,49.7 ,"1,641","4,251",253,,United States,Pierce,Tacoman (plural: Tacomans),"4,292.14/sq mi (1,657.21/km2)",243 ft (74 m),"216,279,213,418",,"November 12, 1875",49.72 sq mi (128.78 km2),Victoria Woodards  since 2018,"3,867,046 (US: 15th)",US: 104th,UTC−7 (PDT),UTC−8 (PST),Council-manager,12.70 sq mi (32.88 km2),www.cityoftacoma.org,+9.01%,47°15′08″N 122°27′35″W﻿ ,98002-98499,53-70000,,1512713[5],,
102,San Bernardino,California,"209,924",159.3 ,61.5 ,"1,358","3,516",909,,United States,San Bernardino,,"3,515.17/sq mi (1,357.21/km2)","1,053 ft (321 m)","215,941,216,995",,"August 10, 1869[1]",61.52 sq mi (159.33 km2),John Valdivia,"4,224,851",1st in San Bernardino County17th in California100th in the United States,UTC−7 (PDT),UTC−8 (Pacific),Council-manager,0.43 sq mi (1.13 km2)  0.74%,sbcity.org,+2.87%,34°08′30″N 117°17′37″W﻿ ,92401-92427,06-65000,,"1661375, 2411777",,San Bernardino International AirportSBD (Major/International)
103,Modesto,California,"201,165",111.4 ,43.0 ,"1,905","4,934",209,,United States,Stanislaus,,"4,937.98/sq mi (1,906.58/km2)",89 ft (27 m),"215,030,214,221","November 8, 1870","August 6, 1884[2]",42.97 sq mi (111.29 km2),Ted Brandvold[4],"514,453",1st in Stanislaus County18th in California,UTC−7 (PDT),UTC−8 (Pacific),Council-manager[3],1.84 sq mi (4.76 km2)  0.61%,www.modestogov.com,+6.89%,37°38′15″N 121°00′11″W﻿ ,95350-95397,06-48354,,"277609, 2411130",,
104,Fontana,California,"196,069",111.4 ,43.0 ,"1,883","4,876","909, 951[13]",,United States,San Bernardino,,"4,923.64/sq mi (1,901.05/km2)","1,237 ft (377 m)","213,739,211,815",1913[1],"June 25, 1952[2]",43.02 sq mi (111.42 km2),,,2nd in San Bernardino County19th in CaliforniaUS: 106th,UTC-7 (PDT),UTC-8 (PST),Council-Manager[3],0.00 sq mi (0.00 km2)  3%,fontana.org,+9.01%,34°06′32″N 117°27′46″W﻿ ,92331-92334,06-24680,,,,
105,Santa Clarita,California,"176,320",136.8 ,52.8 ,"1,331","3,446",661,,United States,Los Angeles,Santa Claritan,"3,449.12/sq mi (1,331.71/km2)","1,207 ft (368 m)","210,089,210,888",,"December 15, 1987[1]",52.76 sq mi (136.65 km2),Marsha McLean,"13,155,788",3th in Los Angeles County24th in California,UTC−07:00 (PDT),UTC−08:00 (Pacific),Council-Manager,0.05 sq mi (0.13 km2)  0.099%,www.santa-clarita.com,+19.15%,34°24′11″N 118°30′15″W﻿ ,91310-91390,06-69088,,"1662338, 2411819",,
106,Birmingham,Alabama,"212,237",378.4 ,146.1 ,561,"1,452",205,"Jefferson, Shelby",United States,,Birminghamian,"1,443.04/sq mi (557.16/km2)",644 ft (196 m),"209,880,210,710",,"December 19, 1871",146.02 sq mi (378.19 km2),Randall Woodfin (D),"1,149,807 (US: 49th)",US: 107thAL: 1st,UTC−5 (CDT),UTC−6 (CST),Mayor–council,2.55 sq mi (6.59 km2),Official website,−1.11%,33°31′39″N 86°47′56″W﻿ ,35201-35298,01-07000,,015817,,Birmingham–Shuttlesworth International Airport
107,Oxnard,California,"197,899",69.7 ,26.9 ,"2,984","7,729",805,,United States,Ventura,,"7,728.56/sq mi (2,984.05/km2)",52 ft (16 m),"209,877,207,906",,"June 30, 1903[1]",26.90 sq mi (69.67 km2),,,1st in Ventura County19th in California,UTC−7 (PDT),UTC−8 (Pacific),Council–manager,12.31 sq mi (31.88 km2)  31.41%,www.oxnard.org,+6.05%,34°12′08″N 119°12′17″W﻿ ,93030-93036,06-54652,,"1652766, 2411347",,Oxnard Airport (OXR)commercial service
108,Fayetteville,North Carolina,"200,564",382.5 ,147.7 ,535,"1,386",910,,United States,Cumberland,,,263 ft (80 m),"209,468,209,889",,,145.9 sq mi (377.8 km2),Mitch Colvin (D),"386,662",,UTC−4 (EDT),UTC−5 (Eastern (EST)),Council-Manager,1.9 sq mi (4.8 km2),Official website,+4.44%,35°04′58″N 78°58′25″W﻿ ,28301-28387,37-22920[2],,1020226[3],,
109,Moreno Valley,California,"193,365",132.9 ,51.3 ,"1,547","4,006","909, 951",,United States of America,Riverside,,"4,041.86/sq mi (1,560.44/km2)","1,631 ft (497 m)","209,050,207,226",,"December 3, 1984[3]",51.27 sq mi (132.80 km2),,,2nd in Riverside County21st in California112th in the United States,UTC−7 (PDT),UTC−8 (Pacific),Council-Manager,0.20 sq mi (0.50 km2)  0.39%,www.moreno-valley.ca.us,+8.11%,33°55′24″N 117°12′21″W﻿ ,92551-92557,06-49270,,"1668251, 2411159",,
110,Rochester,New York,"210,565",92.7 ,35.8 ,"2,253","5,835",585,,United States,Monroe,Rochesterian,"5,884.99/sq mi (3,522.91/km2)",505 ft (154 m),"206,284,208,046",1788,"April 28, 1834,March 21, 1817 (as Rochesterville)[1]",35.78 sq mi (57.61 km2),Lovely Warren (D),"1,082,284 (US: 51st)",,UTC−4 (EDT),UTC−5 (EST),Mayor-Council,1.36 sq mi (2.18 km2)  3.6%,www.cityofrochester.gov,−2.03%,43°10′12″N 77°37′01″W﻿ ,,36-63000,,0962684,,
111,Glendale,California,"191,719",78.7 ,30.4 ,"2,551","6,606",747 and 818,,United States,Los Angeles,,"6,672.82/sq mi (2,576.17/km2)",522 ft (159 m),"201,361,203,054",,"February 15, 1906[1]",30.43 sq mi (78.82 km2),,,4th in Los Angeles County24th in CaliforniaUS: 112th,UTC−7 (PDT),UTC−8 (Pacific),Council-Manager[2],0.13 sq mi (0.34 km2)  0.43%,glendaleca.gov,+5.03%,34°10′53″N 118°14′45″W﻿ ,91201-91226,06-30000,,"1660679, 2410597",,"Los Angeles International AirportLAX (Major/International),Hollywood Burbank Airport-BUR (Regional) Van Nuys Airport-VNY (Regional) Long Beach Airport-LGB (Regional)"
112,Huntington Beach,California,"189,992",69.7 ,26.9 ,"2,880","7,459","562, 657/714",,United States,Orange,,"7,493.47/sq mi (2,893.42/km2)",39 ft (12 m),"200,641,201,874",,"February 17, 1909[3]",26.94 sq mi (69.77 km2),,,4th in Orange County22nd in California,UTC−7 (PDT),UTC−8 (Pacific),City Council/City Manager[4],5.19 sq mi (13.43 km2)  16.10%,huntingtonbeachca.gov,+5.60%,33°41′26″N 118°00′33″W﻿ ,92605-92649,06-36000,,"1652724, 2410811",,John Wayne International AirportSNA (Major/International)
113,Salt Lake City,Utah,"186,440",288.0 ,111.2 ,673,"1,742","801, 385",,United States,Salt Lake,Salt Laker[2],"1,709.1/sq mi (659.9/km2)","4,226 ft (1,288 m)","200,591,200,544",,,109.1 sq mi (282.5 km2),Jackie Biskupski (D),"1,203,978 (US: 48th)",US: 116th,UTC−6,UTC−7 (Mountain),Mayor-council,1.3 sq mi (3.3 km2),Salt Lake City Government,+7.59%,40°46′37″N 111°55′52″W﻿ ,84136-84199,49-67000[4],,1454997[5],,
114,Grand Rapids,Michigan,"188,040",115.0 ,44.4 ,"1,708","4,424",616,,United States,Kent,Grand Rapidian,"4,474.91/sq mi (1,727.77/km2)",640 ft (200 m),"200,217,198,829",1826,,44.43 sq mi (115.08 km2),Rosalynn Bliss (D),"1,038,583[2] (US: 52nd)",119th in US,UTC-4 (EDT),UTC-5 (EST),City Commission-Manager,0.88 sq mi (2.27 km2)  1.92%,www.grcity.us,+6.48%,42°57′40″N 85°39′20″W﻿ ,49501-49594,26-34000,,0627105[6],,
115,Amarillo,Texas,"190,695",262.6 ,101.4 ,760,"1,968",806,PotterRandall,United States,,Amarilloan,"2,100/sq mi (820/km2)","3,605 ft (1,099 m)","199,924,199,248",,,89.8 sq mi (232.7 km2),"Ginger Nelson 
(Since May 2017)","309,233",,UTC−5 (CDT),UTC−6 (CST),Council-Manager,0.5 sq mi (1.2 km2),www.amarillo.gov,+4.84%,35°12′00″N 101°49′49″W﻿ ,79114-79189,48-03000[2],,1351066[3],,
116,Yonkers,New York,"195,976",46.6 ,18.0 ,"4,307","11,156",914,,United States,Westchester,YonkersonianYonkersite,"11,148.51/sq mi (4,304.41/km2)",82 ft (25 m),"199,663,200,807",1646  (village),1872 (city),18.01 sq mi (46.65 km2),Mike Spano (D),,,UTC-4 (EDT),UTC-5 (EST),Mayor-Council,2.28 sq mi (5.92 km2),www.yonkersny.gov,+1.88%,40°56′45″N 73°52′03″W﻿ ,10701-10710,36-84000[3],,0971828[4],,
117,Aurora,Illinois,"197,899",116.3 ,44.9 ,"1,729","4,479","630, 331","DuPage, Kane, Kendall, Will",United States,,Auroran,"4,472.2/sq mi (1,726.74/km2)",718 ft (219 m),"199,602,200,965",,1857,44.89 sq mi (116.27 km2),Richard Irvin (R)[1],,US: 111th,UTC−5 (CDT),UTC−6 (CST),Mayor–council,0.88 sq mi (2.28 km2),www.aurora-il.org,+0.86%,41°45′49″N 88°17′24″W﻿ ,60502-60598,17-03012,,,,
118,Montgomery,Alabama,"205,764",413.9 ,159.8 ,483,"1,252",334,,United States,Montgomery,,"1,248.60/sq mi (482.08/km2)",240 ft (73 m),"198,218,199,518",,"December 3, 1819[2]",159.79 sq mi (413.87 km2),Todd Strange (R),"373,903 (US: 143rd)",US: 118thAL: 2nd,UTC−5 (CDT),UTC−6 (CST),Mayor–Council,2.39 sq mi (6.19 km2),montgomeryal.gov,−3.67%,32°20′50″N 86°15′58″W﻿ ,36013-36117,01-51000,,0165344,,
119,Akron,Ohio,"199,110",160.6 ,62.0 ,"1,231","3,188","234, 330",,United States,Summit,Akronite,"3,209.9/sq mi (1,239.3/km2)","1,004 ft (306 m)","198,006,197,846",1825,1865 (city),62.03 sq mi (160.66 km2),Dan Horrigan (D),"705,686 (US: 77th)",US: 119th,UTC-4 (EDT),UTC-5 (Eastern (EST)),Strong Mayor–council,0.34 sq mi (0.88 km2)  0.55%,akronohio.gov,−0.55%,41°04′50″N 81°31′17″W﻿ ,44325-44398,39-01000,,1064305[4],,
120,Little Rock,Arkansas,"193,524",307.4 ,118.7 ,646,"1,673",501,,United States,Pulaski,Little Rocker,"1,665.93/sq mi (643.22/km2)",335 ft (102 m),"197,881,198,606","June 1, 1821","November 2, 1835",119.22 sq mi (308.77 km2),Frank Scott Jr. (D),"738,344 (US: 78th)",US: 117th,UTC-5 (CDT),UTC-6 (CST),Council-manager,2.80 sq mi (7.26 km2),www.littlerock.gov,+2.25%,34°43′31″N 92°21′31″W﻿ ,72002-72227,05-41000,,0083350,,Clinton National Airport/Adams Field (LIT)
121,Huntsville,Alabama,"180,105",552.7 ,213.4 ,349,905,"256, 938","Madison, Limestone, Morgan[1]",United States,,Huntsvillian,912.01/sq mi (352.13/km2),600 ft (183 m),"197,318,194,585",LeRoy Pope,"February 24, 1860[5]",213.36 sq mi (552.60 km2),Tommy Battle (R),"455,458 (US: 118th)",US: 118th AL: 2nd[8],UTC−5 (CDT),UTC−6 (CST),Mayor–Council,1.34 sq mi (3.47 km2),www.huntsvilleal.gov,+9.56%,34°41′56″N 86°40′23″W﻿ ,35649-35824,01-37000,,0151827,,
122,Augusta,Georgia,"195,844",783.5 ,302.5 ,252,652,"706, 762[6][7]",,United States,Richmond,,654.2/sq mi (252.6/km2),136 ft (45 m),"196,939,197,166",,,302.1 sq mi (782 km2),Hardie Davis,"600,151 (US: 93rd)",US: 122nd,UTC-4 (EDT),UTC-5 (EST),,4.3 sq mi (11.3 km2),AugustaGA.gov,+0.56%,33°21′56″N 82°04′24″W﻿ ,30901-30912,,,,,
123,Port St. Lucie,Florida,"164,603",307.9 ,118.9 ,601,"1,557",,,United States,St. Lucie,,"1,557.18/sq mi (601.23/km2)",16 ft (5 m),"195,248,185,132",,1961[1],118.89 sq mi (307.92 km2),Greg Oravec[2],"438,095 (US: 116th)",US: 142nd,UTC−4 (EDT),UTC−5 (Eastern (EST)),,1.62 sq mi (4.19 km2),www.cityofpsl.com,+18.62%,27°16′50″N 80°23′18″W﻿ ,,12-58715,,0308089[6],,
124,Grand Prairie,Texas,"175,396",187.3 ,72.3 ,"1,018","2,637","972, 214, 469, 817","Dallas, Tarrant, Ellis",United States,,Grand Prairian,"2,433/sq mi (939/km2)",515 ft (157 m),"194,614,183,372",,,72.105 sq mi (186.75 km2),,"6,810,913 (4th)",(US: 127th),UTC-5 (CDT),UTC-6 (CST),Council-Manager,8.986 sq mi (23.27 km2),www.gptx.org,+10.96%,32°41′13″N 97°01′16″W﻿ ,,48-30464[3],,1336802[4],,
125,Columbus,Georgia,"189,885",560.5 ,216.4 ,353,913,"706, 762",,United States,Muscogee,,861/sq mi (332.6/km2),243 ft (74 m),"194,160,194,058",1828,,216.1 sq mi (592.1 km2),"B. H. ""Skip"" Henderson III (R)",,US: 124th,UTC−4 (EDT),UTC−5 (EST),,4.7 sq mi (12.3 km2),City of Columbus,+2.25%,32°30′37″N 84°52′30″W﻿ ,31820-31917,13-19007,,0331158[3],,Columbus Airport-CSG
126,Tallahassee,Florida,"181,376",260.0 ,100.4 ,734,"1,901",850,,United States,Leon,,"1,900.94/sq mi (733.95/km2)",203 ft (62 m),"193,551,191,049",,,100.42 sq mi (260.09 km2),John Dailey (D),"385,145 (140th)","126th, U.S.",UTC−4 (EDT),UTC−5 (Eastern (EST)),Commission–Manager,3.21 sq mi (8.30 km2),www.talgov.com,+6.71%,30°27′18″N 84°15′12″W﻿ ,32300-32399,12-70600[3],,0308416[2],,
127,Overland Park,Kansas,"173,372",194.5 ,75.1 ,971,"2,516",913,,United States,Johnson,,"2,300/sq mi (890/km2)","1,086 ft (331 m)","192,536,191,278",,1960,74.84 sq mi (193.84 km2),Carl R. Gerlach[1],,US: 127th,UTC-5 (CDT),UTC-6 (CST),,0.53 sq mi (1.38 km2),opkansas.org,+11.05%,38°53′20″N 94°41′26″W﻿ ,,20-53775,,0479210 [4],,
128,Tempe,Arizona,"161,719",103.6 ,40.0 ,"1,761","4,562",480 and 602,,United States,Maricopa,,"4,566.33/sq mi (1,763.08/km2)","1,140–1,495 ft (347.47 – 455.68 m)","192,364,185,038",,"October 15, 1892",39.97 sq mi (103.51 km2),Mark Mitchell (D),"4,574,531 (US: 12th)",US: 133rd,,UTC−7 (MST (no DST)),,0.26 sq mi (0.67 km2),www.tempe.gov,+18.95%,33°23′18″N 111°55′54″W﻿ ,85281-85287,04-73000,,,,
129,McKinney,Texas,"131,117",163.2 ,63.0 ,"1,056","2,735",214/469/972,,United States,Collin,McKinnian[citation needed],"2,494/sq mi (962.9/km2)",630 ft (192 m),"191,645",,1848,62.2 sq mi (161.1 km2),George Fuller[1],,,UTC−5 (CDT),UTC−6 (CST),council-manager,0.7 sq mi (1.7 km2),www.mckinneytexas.org,+46.16%,33°11′55″N 96°40′05″W﻿ ,,48-45744[3],,1341241[4],,
130,Mobile,Alabama,"195,111",361.0 ,139.4 ,534,"1,384",251,,United States,Mobile,Mobilian,"1,364.91/sq mi (527.00/km2)",10 ft (3 m),"189,572,190,265",1702,"December 17, 1819[2]",139.40 sq mi (361.04 km2),Sandy Stimpson (R),"414,079 (US: 127th)",US: 122ndAL: 3rd,UTC−5 (CDT),UTC−6 (CST),Mayor–council,40.66 sq mi (105.31 km2),City of Mobile,−2.84%,30°40′06″N 88°06′01″W﻿ ,36625-36695,01-50000,,0155153,,Mobile Regional Airport
131,Cape Coral,Florida,"154,305",273.5 ,105.6 ,658,"1,703",239,,United States,Lee,,"1,733.55/sq mi (669.33/km2)",5 ft (2 m),"189,343,183,365",1957,1970,105.77 sq mi (273.95 km2),Joe Coviello,"645,899",US: 134th,UTC−04:00 (EDT),UTC−05:00 (EST),Council-Manager,13.42 sq mi (34.77 km2)  9%,www.capecoral.net,+22.71%,26°38′36″N 81°59′51″W﻿ ,33904-33993,12-10275[4],,0279997[5],,
132,Shreveport,Louisiana,"199,311",277.4 ,107.1 ,700,"1,820",318,,United States,,Shreveporter[4],"1,819.35/sq mi (702.45/km2)",154 to 253 ft (46 to 77.1 m),"188,987,192,036",1836,"March 20, 1839",107.14 sq mi (277.48 km2),Adrian Perkins (D),"443,708 (US: 119th)",3rd in Louisiana126th in United States,UTC−5 (CDT),UTC−6 (CST),,15.21 sq mi (39.40 km2),shreveportla.gov,−5.18%,32°28′01″N 93°47′32″W﻿ ,,22-70000,,,,Shreveport Regional Airport
133,Frisco,Texas,"116,989",175.3 ,67.7 ,933,"2,417",972/469/214,"Collin, Denton",United States,,,"2,720/sq mi (1,050.2/km2)",774 ft (236 m),"188,170,186,087",,,61.8 sq mi (160.1 km2),,,,UTC-5 (CDT),UTC-6 (CST),Council-manager,0.6 sq mi (1.5 km2),www.friscotexas.gov,+60.84%,33°09′19″N 96°49′21″W﻿ ,75068-75071,48-27684,,1336263[2],,
134,Knoxville,Tennessee,"178,874",255.1 ,98.5 ,730,"1,891",865,,United States,Knox,Knoxvillian,"1,816/sq mi (701.0/km2)",886 ft (270 m),"187,500,186,239","1791,James White",1815,98.5 sq mi (255.2 km2),Madeline Rogero (D),"868,546 (US: 64th)",US: 129th,UTC−4 (EDT),UTC−5 (EST),Mayor–council,5.6 sq mi (14.6 km2)  5.4%,www.knoxvilletn.gov,+4.82%,35°58′15″N 83°56′57″W﻿ ,37909-37950,47-40000,,1648562,,
135,Worcester,Massachusetts,"181,045",96.9 ,37.4 ,"1,905","4,933",508 / 774,,United States,Worcester,,"4,700/sq mi (1,800/km2)",480 ft (146 m),"185,877,185,877",,"February 29, 1848,June 14, 1722",37.6 sq mi (97.3 km2),Joseph Petty (D),"923,672",,UTC-4 (Eastern),UTC-5 (Eastern),Council-manager,1.0 sq mi (2.6 km2),www.worcesterma.gov,+2.67%,42°16′10″N 71°48′28″W﻿ ,1601-1655,25-82000,,0617867,"Massachusetts Bay Colony in the Province of Massachusetts Bay(1641-1776),Kingdom of England Kingdom of Great Britain",
136,Brownsville,Texas,"175,023",343.2 ,132.5 ,536,"1,387",956,,United States,Cameron,Brownsvillian,,33 ft (10 m),"183,392,189,592",1848,"February 7, 1853",81.528 sq mi (211.157 km2),Vacant,"420,392 (US: 126th)",,UTC-5 (CDT),UTC-6 (CST),Council-Manager,3.339 sq mi (8.648 km2)  4%,www.cob.us,+4.78%,25°59′57″N 97°27′18″W﻿ ,78520-78526,48-10768[6],,1372749[7],,Brownsville/South Padre Island International Airport KBRO (BRO)
137,Vancouver,Washington,"161,791",121.5 ,46.9 ,"1,439","3,728",360,,United States,Clark,,"3,608.06/sq mi (1,393.07/km2)",171 ft (52 m),"183,012,175,673",1825,1857,48.69 sq mi (126.11 km2),Anne McEnerny-Ogle,"2,389,228 (US: 23rd)",US: 144th,UTC−7 (PDT),UTC−8 (Pacific),Council/Manager,3.70 sq mi (9.59 km2),City of Vancouver,+13.12%,45°38′06″N 122°35′45″W﻿ ,,53-74060,,1531916[4],,
138,Fort Lauderdale,Florida,"165,521",89.6 ,34.6 ,"1,995","5,166","754, 954",,United States,Broward,,"5,162.81/sq mi (1,993.39/km2)",9 ft (2.75 m),"182,595,180,072",,,34.62 sq mi (89.67 km2),Dean Trantalis (D),"5,762,717 (US: 8th)",,UTC−4 (EDT),UTC−5 (Eastern (EST)),Commission-Manager,1.69 sq mi (4.37 km2)  9.87%,www.fortlauderdale.gov,+10.32%,26°08′28″N 80°08′48″W﻿ ,33301-33334,12-24000,,0282693[10],,
139,Sioux Falls,South Dakota,"153,888",195.3 ,75.4 ,893,"2,312",605,"Minnehaha, Lincoln",United States,,,"2,109.2/sq mi (814.4/km2)","1,470 ft (448 m)","181,883,170,401",,,72.96 sq mi (188.97 km2),Paul Ten Haken,"259,094 (US: 187th)",US: 143rd,UTC−5 (Central),UTC−6 (Central),,0.51 sq mi (1.32 km2),www.siouxfalls.org,+18.19%,43°32′18″N 96°43′55″W﻿ ,57186-57186,46-59020,,1267670[6],,
140,Ontario,California,"163,924",129.2 ,49.9 ,"1,340","3,471",909,,United States,San Bernardino,,"3,521.75/sq mi (1,359.63/km2)","1,004 ft (306 m)","181,107,175,841",,"December 10, 1891[2]",49.93 sq mi (129.33 km2),,,4th in San Bernardino County29th in California146th in the United States,UTC−7 (PDT),UTC−8 (Pacific),City Council / City Manager[1],0.06 sq mi (0.16 km2)  0.13%,www.ontarioca.gov,+10.48%,34°02′22″N 117°36′15″W﻿ ,91758-91764,06-53896,,"1652764, 2411323",,Ontario International AirportONT (Major/International)
141,Chattanooga,Tennessee,"167,674",370.6 ,143.1 ,479,"1,241",423,,United States,Hamilton,Chattanoogan,"1,295/sq mi (499.9/km2)",676 ft (206 m),"180,557,177,571",,1839[2],137.1 sq mi (355.2 km2),Andy Berke (D),"547,776",,UTC-4 (EDT),UTC-5 (EST),Mayor-council,7.4 sq mi (19.2 km2),www.chattanooga.gov,+7.68%,35°03′58″N 85°14′54″W﻿ ,37341-37419,47-14000[6],,1307240[7],,
142,Providence,Rhode Island,"178,042",47.7 ,18.4 ,"3,760","9,740",401,,United States,Providence,,"3,736.0/km2 (9,676.2/sq mi)",23 m (75 ft),"179,335,180,393",Roger Williams,"November 5, 1832",48 km2 (18.4 sq mi),Jorge Elorza (D),"1,604,291 (US: 38th)",US: 134th,UTC−4 (EDT),UTC−5 (Eastern Time Zone),Mayor-Council,6 km2 (2.2 sq mi),www.providenceri.com,+0.73%,41°49′23″N 71°25′08″W﻿ ,2901-2940,44-59000[4],,1219851[5],,
143,Newport News,Virginia,"180,719",179.0 ,69.1 ,"1,016","2,631",757,,United States,,,"2,595.35/sq mi (1,002.07/km2)",15 ft (4.5 m),"178,626,179,388",,1896 (1896),69.12 sq mi (179.02 km2),McKinley L. Price (I),"1,672,319",,UTC−4 (EDT),UTC−5 (EST),,50.55 sq mi (130.93 km2)  42.4%,www.nnva.gov,−1.16%,37°04′34″N 76°31′19″W﻿ ,,51-56000[4],,1497043[5],,
144,Rancho Cucamonga,California,"165,269",103.6 ,40.0 ,"1,704","4,413",909[12],,United States,San Bernardino,,"4,414.90/sq mi (1,704.62/km2)","1,207 ft (368 m)","177,751,177,452",,"November 30, 1977[1]",39.99 sq mi (103.56 km2),,,3rd in San Bernardino County27th in California,UTC−7 (PDT),UTC−8 (PST),Council-Manager,0.01 sq mi (0.02 km2)  0.05%,www.cityofrc.us,+7.55%,34°07′24″N 117°33′51″W﻿ ,91701-91737,06-59451,,1667908,,
145,Santa Rosa,California,"167,815",107.0 ,41.3 ,"1,637","4,241",707,,United States,Sonoma,,"4,241.86/sq mi (1,637.77/km2)",164 ft (50 m),"177,586,175,155",,"March 26, 1868[2]",41.29 sq mi (106.95 km2),Tom Schwedhelm[3],,1st in Sonoma County,UTC−7 (PDT),UTC−8 (Pacific),Council-Manager,0.20 sq mi (0.53 km2)  0.49%,ci.santa-rosa.ca.us,+5.82%,38°26′48″N 122°42′22″W﻿ ,95401-95407,06-70098,,"249105, 1659601",,
146,Oceanside,California,"167,086",107.0 ,41.3 ,"1,641","4,249",442/760,,United States of America,San Diego,OceansiderO’sider,"4,271.35/sq mi (1,649.13/km2)",66 ft (20 m),"176,080,176,193",,"July 3, 1888[1]",41.25 sq mi (106.84 km2),,,3rd in San Diego County26th in California,UTC−7 (PDT),UTC−8 (Pacific),Council-manager[2],0.92 sq mi (2.39 km2)  2.23%,www.ci.oceanside.ca.us,+5.38%,33°13′28″N 117°18′22″W﻿ ,92049-92058,06-53322,,"1652761, 2411301",,John Wayne International Airport (SNA)San Diego International Airport (SAN)
147,Salem,Oregon,"154,637",125.9 ,48.6 ,"1,330","3,445",503 and 971,"Marion, Polk",United States,,Salemite[4][5],"3,228.3/sq mi (1,246.5/km2)",154 ft (46.7 m),"173,442,167,419",1842,,47.90 sq mi (124.06 km2),Chuck Bennett (D),"400,408 (US: 130th)",US: 152nd,UTC−7 (PDT),UTC−8 (PST),City Council – City Manager,0.55 sq mi (1.42 km2),cityofsalem.net,+12.16%,44°55′25″N 123°01′24″W﻿ ,97301-97312,41-64900,,1167861[6],,
148,Elk Grove,California,"153,015",109.3 ,42.2 ,"1,553","4,022",916,,United States,Sacramento,,"4,022.73/sq mi (1,553.18/km2)",46 ft (14 m),"172,886,169,743",,"July 1, 2000[2]",42.20 sq mi (109.29 km2),Steve Ly (directly elected)[4],,2nd in Sacramento County30th in California,UTC-7 (PDT),UTC-8 (Pacific),Council/Manager[3],0.05 sq mi (0.12 km2)  0.12%,elkgrovecity.org,+12.99%,38°24′53″N 121°23′06″W﻿ ,95624-95759,06-22020,,"277506, 2410425",,
149,Garden Grove,California,"170,883",46.6 ,18.0 ,"3,751","9,714",657/714,,United States of America,Orange,,"9,737.60/sq mi (3,759.66/km2)",89 ft (27 m),"172,646,174,858",1874,"June 18, 1956[2]",17.96 sq mi (46.51 km2),Steven R. Jones,,5th in Orange County25th in California,UTC-7 (PDT),UTC-8 (Pacific),Council-manager,0.02 sq mi (0.05 km2)  0.10%,www.ggcity.org,+1.03%,33°46′44″N 117°57′38″W﻿ ,92840-92846,06-29000,,"1660662, 2410568",,
150,Pembroke Pines,Florida,"154,019",85.5 ,33.0 ,"1,973","5,109","954, 754",,United States,Broward,,"5,104.52/sq mi (1,970.87/km2)",7 ft (2 m),"172,374,170,712",,"May 22, 1961,March 2, 1959[1]",33.03 sq mi (85.54 km2),Frank C. Ortis (D)[2],,,UTC−4 (EDT),UTC−5 (Eastern (EST)),Commission-Manager,1.94 sq mi (5.03 km2)  4.88%,City of Pembroke Pines,+11.92%,26°01′16″N 80°20′25″W﻿ ,,12-55775,,0288686[6],,
151,Peoria,Arizona,"154,065",455.1 ,175.7 ,361,934,623 and 928,"Maricopa, Yavapai",United States,,,934.49/sq mi (360.82/km2),"1,142 ft (348 m)","172,259,168,181",,,175.68 sq mi (455.01 km2),Cathy Carlat (R),"4,574,531 (US: 12th)",US: 146th,,UTC−7 (MST (no DST)),,3.42 sq mi (8.86 km2),http://www.peoriaaz.gov/,+11.81%,33°47′10″N 112°18′29″W﻿ ,85345-85382,04-54050,,9318,,
152,Eugene,Oregon,"156,185",114.2 ,44.1 ,"1,458","3,777",458 and 541,,United States,Lane,Eugenean[4][5],"3,572.4/sq mi (1,379.3/km2)",430 ft (131 m),"171,245,166,575",1846,"October 17, 1862",43.72 sq mi (113.23 km2),Lucy Vinis (D),,US: 155th,UTC-7 (PDT),UTC-8 (PST),Council-manager,0.02 sq mi (0.05 km2),www.eugene-or.gov,+9.64%,44°03′24″N 123°06′58″W﻿ ,97401-97440,41-23850,,1120527[6],,
153,Corona,California,"152,374",102.3 ,39.5 ,"1,630","4,222",951,,United States,Riverside,,"4,225.29/sq mi (1,631.41/km2)",679 ft (207 m),"168,819,167,836",,"July 13, 1896[3]",39.47 sq mi (102.23 km2),Jason Scott[4],"4,224,851",3rd in Riverside County33rd in California154th in the United States,UTC-7 (PDT),UTC-8 (Pacific),Council-manager[4],0.08 sq mi (0.21 km2)  0.27%,www.discovercorona.com,+10.79%,33°51′43″N 117°33′56″W﻿ ,92877-92883,06-16350,,"1652691, 2410232",,Ontario International AirportONT (Major/International)
